assembly,protein_id,signalp3_nn,signalp3_nn_d,signalp3_hmm,signalp3_hmm_s,signalp4,signalp4_d,signalp5,signalp5_d,signalp5_prediction,phobius_tm_count,phobius_has_sp,phobius_prediction,effectorp1,effectorp1_prob,effectorp2,effectorp2_prob,effectorp3_cytoplasmic_fungal,effectorp3_apoplastic_fungal,effectorp3_noneffector_fungal,effectorp3_prediction_fungal,effectorp3_cytoplasmic_nonfungal,effectorp3_apoplastic_nonfungal,effectorp3_noneffector_nonfungal,effectorp3_prediction_nonfungal,deepredeff_fungi,deepredeff_oomycete,apoplastp,apoplastp_prediction,tmhmm_tm_count,tmhmm_prediction,localizer,signalp6,signalp6_d,signalp6_prediction,pfam_ids,pfam_names,pfam_best_evalues,has_selected_pfam_match,custom_score,score_rank
assembly3,assembly3_000353,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.1,FALSE,6.61e-4,OTHER,0,FALSE,o,FALSE,1,FALSE,0.991,NA,NA,0.917,Non-effector,NA,NA,0.533,Non-effector,0.9806057,0.3613121,1,Non-apoplastic,0,len=770,NA,NA,NA,NA,PF01363.27,FYVE zinc finger,6e-12,TRUE,5.05112114,13
assembly3,assembly3_001441,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.004,TRUE,0.502,FALSE,0.070659,OTHER,0,FALSE,o,FALSE,1,FALSE,0.99,NA,NA,0.981,Non-effector,NA,NA,0.94,Non-effector,0.9470629,0.32842857,0.99,Non-apoplastic,0,len=454,NA,NA,NA,NA,NA,NA,NA,NA,5.042412580000001,14
assembly3,assembly3_008367,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.689,TRUE,0.498,FALSE,0.19832,OTHER,0,TRUE,n3-18c23/24o,FALSE,1,FALSE,0.996,NA,NA,0.813,Non-effector,NA,NA,0.813,Non-effector,0.7667553,0.36637315,0.57,Non-apoplastic,0,len=50,NA,NA,NA,NA,NA,NA,NA,NA,5.03655106,15
assembly3,assembly3_002643,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.572,FALSE,0.272,FALSE,0.037513,OTHER,0,TRUE,n22-33c39/40o,FALSE,1,FALSE,0.99,NA,NA,0.944,Non-effector,NA,NA,0.937,Non-effector,0.9037741,0.24316561,0.95,Non-apoplastic,0,len=357,NA,NA,NA,NA,NA,NA,NA,NA,5.030954820000001,16
assembly3,assembly3_000782,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.614,TRUE,0.795,TRUE,0.9131,SP(Sec/SPI),0,TRUE,n2-13c18/19o,FALSE,1,FALSE,0.99,NA,NA,0.981,Non-effector,NA,NA,0.94,Non-effector,0.8558419,0.2928403,0.93,Non-apoplastic,0,len=523,NA,FALSE,0.9996,SP,NA,NA,NA,NA,5.02736838,17
assembly3,assembly3_001896,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.998,TRUE,0.755,TRUE,0.980575,SP(Sec/SPI),0,TRUE,n6-17c22/23o,FALSE,1,FALSE,0.989,NA,NA,0.833,Non-effector,NA,NA,0.589,Non-effector,0.8805102,0.38653323,0.99,Non-apoplastic,0,len=392,NA,FALSE,0.999759,SP,NA,NA,NA,NA,5.02730204,18
assembly3,assembly3_008254,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.948,TRUE,0.563,FALSE,0.227189,OTHER,0,TRUE,n3-18c23/24o,FALSE,0.999,FALSE,0.992,NA,NA,0.723,Non-effector,NA,NA,0.723,Non-effector,0.7982483,0.29450488,0.51,Non-apoplastic,0,len=52,NA,NA,NA,NA,NA,NA,NA,NA,5.021849660000001,19
assembly3,assembly3_001209,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.017,TRUE,0.483,FALSE,0.235758,OTHER,0,TRUE,n7-20c28/29o,FALSE,1,FALSE,0.985,NA,NA,0.935,Non-effector,NA,NA,0.901,Non-effector,0.9618012,0.3712049,0.86,Non-apoplastic,0,len=461,TRUE,FALSE,0.999357,SP,NA,NA,NA,NA,5.02046024,20
assembly3,assembly3_006055,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.832,FALSE,0.167,FALSE,0.011983,OTHER,0,FALSE,o,FALSE,1,FALSE,0.998,0.68,NA,NA,Cytoplasmic effector,0.747,NA,NA,Cytoplasmic effector,0.6244788,0.3920263,0.51,Non-apoplastic,0,len=75,NA,NA,NA,NA,NA,NA,NA,NA,5.01499576,21
assembly3,assembly3_007090,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.922,FALSE,0.184,FALSE,0.011192,OTHER,0,FALSE,o,FALSE,1,FALSE,0.998,0.744,NA,NA,Cytoplasmic effector,0.681,NA,NA,Cytoplasmic effector,0.62443554,0.39245147,0.53,Non-apoplastic,0,len=59,NA,NA,NA,NA,NA,NA,NA,NA,5.014987108,22
assembly3,assembly3_000809,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.051,TRUE,0.46,FALSE,0.105162,OTHER,0,TRUE,n5-13c18/19o,FALSE,1,FALSE,0.984,NA,NA,0.921,Non-effector,NA,NA,0.793,Non-effector,0.9429753,0.44482213,1,Non-apoplastic,0,len=507,TRUE,NA,NA,NA,NA,NA,NA,NA,5.01169506,23
assembly3,assembly3_001262,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.048,FALSE,0.173,FALSE,0.013179,OTHER,0,TRUE,n7-15c20/21o,FALSE,1,FALSE,0.988,NA,NA,0.51,Non-effector,0.557,NA,NA,Cytoplasmic effector,0.83587825,0.27679038,1,Non-apoplastic,0,len=468,NA,NA,NA,NA,NA,NA,NA,NA,5.00727565,24
assembly3,assembly3_001526,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.405,TRUE,0.498,TRUE,0.773792,SP(Sec/SPI),6,FALSE,i136-159o179-198i219-245o265-285i316-340o360-379i,FALSE,1,FALSE,0.983,NA,NA,0.843,Non-effector,NA,NA,0.837,Non-effector,0.90437376,0.28375953,0.89,Non-apoplastic,0,len=441,NA,FALSE,0.996285,SP,NA,NA,NA,NA,5.001874752,25
assembly3,assembly3_002000,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.992,TRUE,0.617,TRUE,0.745965,SP(Sec/SPI),5,TRUE,n6-24c29/30o88-105i117-141o225-243i263-280o286-304i,FALSE,1,FALSE,0.983,NA,NA,0.806,Non-effector,NA,NA,0.935,Non-effector,0.8653395,0.27202955,0.94,Non-apoplastic,0,len=305,NA,NA,NA,NA,NA,NA,NA,NA,4.9942679000000005,26
assembly3,assembly3_000640,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.052,FALSE,0.29,TRUE,0.806784,SP(Sec/SPI),0,TRUE,n5-13c21/22o,FALSE,1,FALSE,0.989,NA,NA,0.854,Non-effector,NA,NA,0.514,Non-effector,0.7254315,0.26635483,0.99,Non-apoplastic,0,len=604,NA,NA,NA,NA,NA,NA,NA,NA,4.9931863000000005,27
assembly3,assembly3_001065,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.016,FALSE,0.304,FALSE,0.468689,OTHER,0,TRUE,n4-12c16/17o,FALSE,1,FALSE,0.982,0.549,NA,NA,Cytoplasmic effector,0.742,NA,NA,Cytoplasmic effector,0.855333,0.4457225,1,Non-apoplastic,0,len=484,NA,NA,NA,NA,NA,NA,NA,NA,4.9811666,28
assembly3,assembly3_001138,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.133,FALSE,2.91e-4,OTHER,0,TRUE,n28-33c37/38o,FALSE,1,FALSE,0.991,NA,NA,0.566,Non-effector,0.643,NA,NA,Cytoplasmic effector,0.6268196,0.4572684,0.98,Non-apoplastic,0,len=386,NA,NA,NA,NA,NA,NA,NA,NA,4.98046392,29
assembly3,assembly3_000625,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.011,FALSE,0.28,FALSE,0.123491,OTHER,0,TRUE,n7-15c23/24o,FALSE,1,FALSE,0.988,NA,NA,0.816,Non-effector,NA,NA,0.672,Non-effector,0.6736296,0.49770665,0.99,Non-apoplastic,0,len=506,NA,NA,NA,NA,NA,NA,NA,NA,4.97482592,30
assembly3,assembly3_008048,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.961,FALSE,0.221,FALSE,0.036121,OTHER,0,TRUE,n6-16c21/22o,FALSE,1,FALSE,0.978,0.738,NA,NA,Cytoplasmic effector,0.726,NA,NA,Cytoplasmic effector,0.9219551,0.39727575,0.57,Non-apoplastic,0,len=63,NA,NA,NA,NA,NA,NA,NA,NA,4.97459102,31
assembly3,assembly3_000910,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.673,FALSE,0.15,FALSE,0.010077,OTHER,0,TRUE,n7-17c21/22o,FALSE,1,FALSE,0.982,NA,NA,0.956,Non-effector,NA,NA,0.799,Non-effector,0.7856098,0.52818274,0.74,Non-apoplastic,0,len=411,TRUE,NA,NA,NA,NA,NA,NA,NA,4.9673219600000005,32
assembly3,assembly3_001086,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.155,FALSE,0.001096,OTHER,6,FALSE,i265-286o298-318i339-364o370-391i398-419o425-442i,FALSE,1,FALSE,0.976,NA,NA,0.969,Non-effector,NA,NA,0.952,Non-effector,0.9224971,0.315041,0.97,Non-apoplastic,0,len=488,NA,NA,NA,NA,PF13304.12,"AAA domain, putative AbiEii toxin, Type IV TA system",4.9e-8,TRUE,4.96449942,33
assembly3,assembly3_002124,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.113,FALSE,4.88e-4,OTHER,0,FALSE,o,FALSE,1,FALSE,0.975,NA,NA,0.523,Non-effector,0.734,NA,NA,Cytoplasmic effector,0.9271248,0.48903254,0.99,Non-apoplastic,0,len=408,NA,NA,NA,NA,PF06414.18,Zeta toxin,3.3e-4,TRUE,4.96042496,34
assembly3,assembly3_009623,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.928,FALSE,0.169,FALSE,0.056411,OTHER,0,TRUE,n6-16c21/22o,FALSE,0.999,FALSE,0.974,0.75,NA,NA,Cytoplasmic effector,0.632,NA,NA,Cytoplasmic effector,0.9460891,0.41846234,0.54,Non-apoplastic,0,len=40,NA,NA,NA,NA,NA,NA,NA,NA,4.958417820000001,35
assembly3,assembly3_000496,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.01,FALSE,0.304,FALSE,0.032054,OTHER,0,TRUE,n2-13c18/19o,FALSE,1,FALSE,0.99,NA,NA,0.92,Non-effector,NA,NA,0.759,Non-effector,0.5193267,0.24100971,0.98,Non-apoplastic,0,len=678,NA,NA,NA,NA,NA,NA,NA,NA,4.953965340000001,36
assembly3,assembly3_007129,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.663,FALSE,0.438,FALSE,0.301956,OTHER,0,FALSE,o,FALSE,0.987,FALSE,0.977,NA,NA,0.657,Non-effector,NA,NA,0.655,Non-effector,0.90673804,0.6223123,0.8,Non-apoplastic,0,len=63,NA,NA,NA,NA,NA,NA,NA,NA,4.953447607999999,37
assembly3,assembly3_000250,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.103,FALSE,8.6e-4,OTHER,1,FALSE,i368-389o,FALSE,1,FALSE,0.969,NA,NA,0.949,Non-effector,NA,NA,0.843,Non-effector,0.9815279,0.40249225,1,Non-apoplastic,0,len=725,NA,NA,NA,NA,PF01363.27,FYVE zinc finger,3.2e-7,TRUE,4.94130558,38
assembly3,assembly3_000140,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.115,FALSE,0.001443,OTHER,0,FALSE,o,FALSE,1,FALSE,0.971,NA,NA,0.984,Non-effector,NA,NA,0.719,Non-effector,0.90736353,0.3999351,0.99,Non-apoplastic,0,len=944,NA,NA,NA,NA,PF06414.18,Zeta toxin,0.0019,TRUE,4.936472706,39
assembly3,assembly3_001402,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.402,TRUE,0.514,FALSE,0.338144,OTHER,5,TRUE,n4-13c18/19o28-46i58-76o96-114i135-154o160-187i,FALSE,1,FALSE,0.969,NA,NA,0.978,Non-effector,NA,NA,0.981,Non-effector,0.9274351,0.63597476,0.93,Non-apoplastic,0,len=409,TRUE,NA,NA,NA,NA,NA,NA,NA,4.933587020000001,40
assembly3,assembly3_001352,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.102,FALSE,4.16e-4,OTHER,0,FALSE,o,FALSE,1,FALSE,0.986,NA,NA,0.713,Non-effector,0.672,NA,NA,Cytoplasmic effector,0.48430592,0.28426796,0.97,Non-apoplastic,0,len=457,NA,NA,NA,NA,PF13304.12,"AAA domain, putative AbiEii toxin, Type IV TA system",4.7e-5,TRUE,4.926861184,41
assembly3,assembly3_005898,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.966,FALSE,0.207,FALSE,0.037275,OTHER,0,TRUE,n6-16c21/22o,FALSE,1,FALSE,0.969,0.796,NA,NA,Cytoplasmic effector,0.658,NA,NA,Cytoplasmic effector,0.8901887,0.36777836,0.57,Non-apoplastic,0,len=90,NA,NA,NA,NA,NA,NA,NA,NA,4.92323774,42
assembly3,assembly3_008829,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.759,FALSE,0.166,FALSE,0.001459,OTHER,0,TRUE,n3-14c19/20o,FALSE,1,FALSE,0.999,0.68,NA,NA,Cytoplasmic effector,NA,NA,0.828,Non-effector,0.13217044,0.47629213,0.76,Apoplastic,0,len=49,NA,NA,NA,NA,NA,NA,NA,NA,4.921634088,43
assembly3,assembly3_001172,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.1,FALSE,2.72e-4,OTHER,5,FALSE,i226-245o257-278i299-326o338-360i367-385o,FALSE,1,FALSE,0.986,NA,NA,0.97,Non-effector,NA,NA,0.971,Non-effector,0.45230907,0.48410484,0.86,Non-apoplastic,0,len=465,NA,NA,NA,NA,PF13304.12,"AAA domain, putative AbiEii toxin, Type IV TA system",2.8e-4,TRUE,4.920461813999999,44
assembly3,assembly3_002135,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.852,FALSE,0.362,FALSE,0.090856,OTHER,0,TRUE,n9-17c22/23o,FALSE,1,FALSE,0.978,0.656,NA,NA,Cytoplasmic effector,0.681,NA,NA,Cytoplasmic effector,0.5913005,0.42744023,0.5,Non-apoplastic,0,len=44,NA,NA,NA,NA,NA,NA,NA,NA,4.9084601,45
assembly3,assembly3_000242,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.962,TRUE,0.754,TRUE,0.86359,SP(Sec/SPI),0,TRUE,n3-14c23/24o,FALSE,0.999,FALSE,0.993,NA,NA,0.667,Non-effector,0.588,NA,NA,Cytoplasmic effector,0.18916044,0.6850778,0.78,Non-apoplastic,0,len=239,NA,FALSE,0.988729,SP,NA,NA,NA,NA,4.908032088000001,46
assembly3,assembly3_005372,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.972,FALSE,0.219,FALSE,0.043278,OTHER,0,TRUE,n6-16c21/22o,FALSE,1,FALSE,0.997,0.738,NA,NA,Cytoplasmic effector,0.692,NA,NA,Cytoplasmic effector,0.10640985,0.27165878,0.58,Non-apoplastic,0,len=56,NA,NA,NA,NA,NA,NA,NA,NA,4.906481970000001,47
assembly3,assembly3_000799,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.12,FALSE,0.292,FALSE,0.012068,OTHER,1,TRUE,n35-45c52/53o509-527i,FALSE,1,FALSE,0.988,NA,NA,0.925,Non-effector,NA,NA,0.796,Non-effector,0.29844183,0.24591044,1,Non-apoplastic,0,len=538,NA,NA,NA,NA,NA,NA,NA,NA,4.899788366,48
assembly3,assembly3_001044,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.122,FALSE,0.004174,OTHER,0,FALSE,o,FALSE,1,FALSE,0.967,NA,NA,0.946,Non-effector,NA,NA,0.703,Non-effector,0.8228412,0.4406061,1,Non-apoplastic,0,len=475,NA,NA,NA,NA,PF01363.27,FYVE zinc finger,1.3e-5,TRUE,4.89956824,49
assembly3,assembly3_000516,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.015,FALSE,0.154,FALSE,0.00304,OTHER,0,TRUE,n10-17c22/23o,FALSE,1,FALSE,0.965,NA,NA,0.94,Non-effector,NA,NA,0.918,Non-effector,0.86557925,0.34783491,0.85,Non-apoplastic,0,len=532,NA,NA,NA,NA,NA,NA,NA,NA,4.89821585,50
assembly3,assembly3_000937,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.004,FALSE,0.171,FALSE,0.001575,OTHER,0,FALSE,o,FALSE,1,FALSE,0.967,NA,NA,0.802,Non-effector,0.503,NA,NA,Cytoplasmic effector,0.8107145,0.51586837,0.98,Non-apoplastic,0,len=511,NA,NA,NA,NA,PF01363.27,FYVE zinc finger,1.5e-4,TRUE,4.8971429,51
assembly3,assembly3_008469,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.889,FALSE,0.196,FALSE,0.054923,OTHER,0,TRUE,n14-25c35/36o,FALSE,1,FALSE,0.979,0.612,NA,NA,Cytoplasmic effector,0.623,NA,NA,Cytoplasmic effector,0.5075239,0.42913878,0.55,Non-apoplastic,0,len=50,NA,NA,NA,NA,NA,NA,NA,NA,4.896704780000001,52
assembly3,assembly3_009260,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.847,FALSE,0.302,FALSE,0.039393,OTHER,0,FALSE,o,FALSE,1,FALSE,0.998,NA,NA,0.78,Non-effector,NA,NA,0.9,Non-effector,0.021329015,0.4171968,0.73,Non-apoplastic,0,len=46,NA,NA,NA,NA,NA,NA,NA,NA,4.894365803,53
assembly3,assembly3_001768,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.273,FALSE,0.119,FALSE,9.16e-4,OTHER,0,TRUE,n31-38c42/43o,FALSE,1,FALSE,0.96,NA,NA,0.73,Non-effector,NA,NA,0.518,Non-effector,0.96957207,0.4599876,0.91,Non-apoplastic,0,len=435,NA,NA,NA,NA,NA,NA,NA,NA,4.894014414000001,54
assembly3,assembly3_001358,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.152,FALSE,7.23e-4,OTHER,0,FALSE,o,FALSE,1,FALSE,0.966,0.607,NA,NA,Cytoplasmic effector,0.877,NA,NA,Cytoplasmic effector,0.8154835,0.698077,0.99,Non-apoplastic,0,len=466,NA,NA,NA,NA,PF13304.12,"AAA domain, putative AbiEii toxin, Type IV TA system",7.2e-4,TRUE,4.8930967,55
assembly3,assembly3_009540,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.857,FALSE,0.26,FALSE,0.006587,OTHER,0,FALSE,o,FALSE,1,FALSE,0.998,NA,NA,0.754,Non-effector,NA,NA,0.866,Non-effector,0.012663394,0.42983967,0.51,Non-apoplastic,0,len=44,NA,NA,NA,NA,NA,NA,NA,NA,4.8926326788,56
assembly3,assembly3_000663,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.086,FALSE,2.53e-4,OTHER,6,FALSE,o30-56i446-464o484-504i516-542o554-572i584-599o,FALSE,1,FALSE,0.99,NA,NA,0.982,Non-effector,NA,NA,0.982,Non-effector,0.21105143,0.43854806,0.75,Non-apoplastic,0,len=600,NA,NA,NA,NA,PF13304.12,"AAA domain, putative AbiEii toxin, Type IV TA system",0.0067,TRUE,4.892210286,57
assembly3,assembly3_000999,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.701,FALSE,0.277,FALSE,0.109079,OTHER,8,FALSE,o6-25i70-99o105-125i146-169o175-195i232-256o268-288i300-325o,FALSE,1,FALSE,0.959,NA,NA,0.659,Non-effector,NA,NA,0.641,Non-effector,0.98298097,0.41776335,0.95,Non-apoplastic,0,len=326,NA,NA,NA,NA,NA,NA,NA,NA,4.891696194,58
assembly3,assembly3_007478,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.986,FALSE,0.285,FALSE,0.020376,OTHER,1,TRUE,n2-12c17/18o33-56i,FALSE,0.999,FALSE,0.991,NA,NA,0.677,Non-effector,NA,NA,0.804,Non-effector,0.18561909,0.38352317,0.79,Non-apoplastic,0,len=63,NA,NA,NA,NA,NA,NA,NA,NA,4.891323818,59
assembly3,assembly3_004215,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.626,FALSE,0.144,FALSE,8.03e-4,OTHER,0,FALSE,o,FALSE,0.971,FALSE,0.994,0.73,NA,NA,Cytoplasmic effector,0.65,NA,NA,Cytoplasmic effector,0.23241961,0.27977252,0.64,Non-apoplastic,0,len=141,NA,NA,NA,NA,NA,NA,NA,NA,4.887583922,60
assembly3,assembly3_009554,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.531,FALSE,0.235,FALSE,0.006178,OTHER,0,FALSE,i,FALSE,1,FALSE,0.979,NA,NA,0.614,Non-effector,NA,NA,0.859,Non-effector,0.46219113,0.40297654,0.58,Non-apoplastic,0,len=47,NA,NA,NA,NA,NA,NA,NA,NA,4.887538226,61
assembly3,assembly3_009409,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.553,FALSE,0.199,FALSE,0.004293,OTHER,0,FALSE,i,FALSE,1,FALSE,0.979,0.545,NA,NA,Cytoplasmic effector,NA,NA,0.748,Non-effector,0.45702857,0.40289316,0.59,Non-apoplastic,0,len=48,TRUE,NA,NA,NA,NA,NA,NA,NA,4.886505714,62
