assembly,protein_id,signalp3_nn,signalp3_nn_d,signalp3_hmm,signalp3_hmm_s,signalp4,signalp4_d,signalp5,signalp5_d,signalp5_prediction,phobius_tm_count,phobius_has_sp,phobius_prediction,effectorp1,effectorp1_prob,effectorp2,effectorp2_prob,effectorp3_cytoplasmic_fungal,effectorp3_apoplastic_fungal,effectorp3_noneffector_fungal,effectorp3_prediction_fungal,effectorp3_cytoplasmic_nonfungal,effectorp3_apoplastic_nonfungal,effectorp3_noneffector_nonfungal,effectorp3_prediction_nonfungal,deepredeff_fungi,deepredeff_oomycete,apoplastp,apoplastp_prediction,tmhmm_tm_count,tmhmm_prediction,localizer,signalp6,signalp6_d,signalp6_prediction,pfam_ids,pfam_names,pfam_best_evalues,has_selected_pfam_match,custom_score,score_rank
assembly2,assembly2_008044,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.759,FALSE,0.166,FALSE,0.001459,OTHER,0,TRUE,n3-14c19/20o,FALSE,1,FALSE,0.999,0.68,NA,NA,Cytoplasmic effector,NA,NA,0.828,Non-effector,0.13217044,0.47629213,0.76,Apoplastic,0,len=49,NA,NA,NA,NA,NA,NA,NA,NA,4.921634088,37
assembly2,assembly2_005074,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.912,FALSE,0.191,FALSE,0.011532,OTHER,0,FALSE,o,FALSE,1,FALSE,0.978,0.68,NA,NA,Cytoplasmic effector,0.745,NA,NA,Cytoplasmic effector,0.62443554,0.3924514,0.55,Non-apoplastic,0,len=74,NA,NA,NA,NA,NA,NA,NA,NA,4.914987108,38
assembly2,assembly2_000136,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.356,FALSE,0.389,FALSE,0.48607,OTHER,0,TRUE,n5-15c19/20o,FALSE,1,FALSE,0.971,NA,NA,0.896,Non-effector,NA,NA,0.668,Non-effector,0.7907859,0.5000067,0.99,Non-apoplastic,0,len=306,NA,NA,NA,NA,NA,NA,NA,NA,4.91325718,39
assembly2,assembly2_001369,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.1,FALSE,3.55e-4,OTHER,0,FALSE,i,FALSE,1,FALSE,0.964,0.62,NA,NA,Cytoplasmic effector,0.803,NA,NA,Cytoplasmic effector,0.9104316,0.54710317,1,Non-apoplastic,0,len=384,NA,NA,NA,NA,PF06414.18,Zeta toxin,3e-4,TRUE,4.90208632,40
assembly2,assembly2_005097,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.856,FALSE,0.146,FALSE,0.001619,OTHER,0,TRUE,n23-34c39/40o,FALSE,1,FALSE,0.999,0.554,NA,NA,Cytoplasmic effector,NA,NA,0.865,Non-effector,0.028209835,0.49850798,0.64,Apoplastic,0,len=70,NA,NA,NA,NA,NA,NA,NA,NA,4.900841967000001,41
assembly2,assembly2_005330,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.515,FALSE,0.169,FALSE,0.005651,OTHER,0,FALSE,i,FALSE,1,FALSE,0.996,NA,NA,0.772,Non-effector,NA,NA,0.801,Non-effector,0.102790475,0.5480779,0.59,Apoplastic,0,len=81,NA,NA,NA,NA,NA,NA,NA,NA,4.900658095,42
assembly2,assembly2_006295,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.998,FALSE,0.175,FALSE,0.004135,OTHER,0,TRUE,n40-48c56/57o,FALSE,1,FALSE,0.999,0.597,NA,NA,Cytoplasmic effector,0.6,NA,NA,Cytoplasmic effector,0.026956469,0.40439418,0.52,Non-apoplastic,0,len=67,NA,NA,NA,NA,NA,NA,NA,NA,4.900591293800001,43
assembly2,assembly2_008468,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.857,FALSE,0.26,FALSE,0.006587,OTHER,0,FALSE,o,FALSE,1,FALSE,0.998,NA,NA,0.754,Non-effector,NA,NA,0.866,Non-effector,0.012663394,0.42983967,0.51,Non-apoplastic,0,len=44,NA,NA,NA,NA,NA,NA,NA,NA,4.8926326788,44
assembly2,assembly2_006230,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.954,FALSE,0.122,FALSE,0.002258,OTHER,0,FALSE,o,FALSE,1,FALSE,0.998,NA,NA,0.566,Non-effector,NA,NA,0.865,Non-effector,0.01131025,0.42123467,0.62,Apoplastic,0,len=62,NA,NA,NA,NA,NA,NA,NA,NA,4.89236205,45
assembly2,assembly2_006732,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.111,FALSE,0.387,FALSE,0.034668,OTHER,1,TRUE,n2-13c18/19o42-59i,FALSE,1,FALSE,0.996,NA,NA,0.912,Non-effector,NA,NA,0.915,Non-effector,0.057561666,0.27605307,0.68,Non-apoplastic,0,len=60,NA,NA,NA,NA,NA,NA,NA,NA,4.8916123332,46
assembly2,assembly2_000641,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.002,FALSE,0.139,FALSE,0.003994,OTHER,3,FALSE,o12-38i428-445o457-476i,FALSE,1,FALSE,0.969,NA,NA,0.978,Non-effector,NA,NA,0.959,Non-effector,0.7289909,0.4419723,0.73,Non-apoplastic,0,len=491,NA,NA,NA,NA,PF13304.12,"AAA domain, putative AbiEii toxin, Type IV TA system",0.0052,TRUE,4.890798179999999,47
assembly2,assembly2_005549,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.635,FALSE,0.295,FALSE,0.179919,OTHER,1,FALSE,o6-26i,FALSE,1,FALSE,0.961,NA,NA,0.66,Non-effector,NA,NA,0.675,Non-effector,0.92667675,0.31903931,0.78,Non-apoplastic,0,len=51,NA,NA,NA,NA,NA,NA,NA,NA,4.89043535,48
assembly2,assembly2_003208,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.854,FALSE,0.194,FALSE,0.012234,OTHER,0,FALSE,o,FALSE,1,FALSE,0.973,0.673,NA,NA,Cytoplasmic effector,0.544,NA,NA,Cytoplasmic effector,0.62449574,0.39233738,0.56,Non-apoplastic,0,len=138,TRUE,NA,NA,NA,NA,NA,NA,NA,4.889999148,49
assembly2,assembly2_005236,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.502,FALSE,0.116,FALSE,0.006943,OTHER,0,FALSE,o,FALSE,1,FALSE,0.996,0.528,NA,NA,Cytoplasmic effector,NA,NA,0.897,Non-effector,0.014413774,0.35390696,0.63,Apoplastic,0,len=64,NA,NA,NA,NA,NA,NA,NA,NA,4.8829827548,50
assembly2,assembly2_008541,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.393,FALSE,0.175,FALSE,0.071858,OTHER,0,TRUE,n14-25c30/31o,FALSE,1,FALSE,0.978,NA,NA,0.66,Non-effector,NA,NA,0.677,Non-effector,0.4630525,0.4258805,0.55,Non-apoplastic,0,len=38,NA,NA,NA,NA,NA,NA,NA,NA,4.8827105,51
assembly2,assembly2_007008,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.629,TRUE,0.564,FALSE,0.486728,OTHER,0,TRUE,n7-18c23/24o,FALSE,0.999,FALSE,0.957,NA,NA,0.66,Non-effector,NA,NA,0.702,Non-effector,0.9761703,0.52779996,0.71,Non-apoplastic,0,len=48,TRUE,NA,NA,NA,NA,NA,NA,NA,4.8824340600000005,52
assembly2,assembly2_000009,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.801,FALSE,0.191,FALSE,0.003889,OTHER,14,FALSE,o20-38i50-67o90-115i127-145o151-169i181-203o223-245i257-277o283-304i316-336o342-364i371-395o423-444i465-485o,FALSE,1,FALSE,0.99,NA,NA,0.629,Non-effector,NA,NA,0.632,Non-effector,0.1599358,0.42443043,0.74,Non-apoplastic,0,len=506,TRUE,NA,NA,NA,NA,NA,NA,NA,4.882087160000001,53
assembly2,assembly2_000934,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.696,FALSE,0.483,FALSE,0.253431,OTHER,1,TRUE,n5-13c18/19o337-358i,FALSE,1,FALSE,0.985,NA,NA,0.958,Non-effector,NA,NA,0.751,Non-effector,0.2459428,0.33624202,0.98,Non-apoplastic,0,len=422,NA,NA,NA,NA,NA,NA,NA,NA,4.87438856,54
assembly2,assembly2_007675,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.87,FALSE,0.192,FALSE,0.095459,OTHER,0,TRUE,n14-25c35/36o,FALSE,1,FALSE,0.978,NA,NA,0.66,Non-effector,NA,NA,0.598,Non-effector,0.41789865,0.4273541,0.51,Non-apoplastic,0,len=44,NA,NA,NA,NA,NA,NA,NA,NA,4.87377973,55
assembly2,assembly2_000982,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.02,FALSE,0.441,FALSE,0.052264,OTHER,7,TRUE,n2-10c18/19o44-62i74-91o181-198i210-228o269-292i304-324o339-358i,FALSE,1,FALSE,0.976,NA,NA,0.866,Non-effector,NA,NA,0.866,Non-effector,0.46582562,0.38854644,0.73,Non-apoplastic,0,len=402,NA,NA,NA,NA,NA,NA,NA,NA,4.873265124,56
assembly2,assembly2_006724,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.737,FALSE,0.297,FALSE,0.229889,OTHER,0,FALSE,o,FALSE,0.999,FALSE,0.994,NA,NA,0.829,Non-effector,NA,NA,0.759,Non-effector,0.020154685,0.37449428,0.59,Apoplastic,0,len=47,NA,NA,NA,NA,NA,NA,NA,NA,4.873130937,57
assembly2,assembly2_006059,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.99,FALSE,0.334,TRUE,0.903106,SP(Sec/SPI),0,TRUE,n11-22c30/31o,FALSE,0.98,FALSE,0.96,NA,NA,0.638,Non-effector,NA,NA,0.666,Non-effector,0.94954455,0.5132827,0.78,Non-apoplastic,0,len=36,NA,NA,NA,NA,NA,NA,NA,NA,4.873108910000001,58
assembly2,assembly2_005439,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.653,FALSE,0.135,FALSE,9.01e-4,OTHER,0,FALSE,i,FALSE,1,FALSE,0.974,0.785,NA,NA,Cytoplasmic effector,0.502,NA,NA,Cytoplasmic effector,0.5083427,0.41815877,0.61,Apoplastic,0,len=54,NA,NA,NA,NA,NA,NA,NA,NA,4.871768540000001,59
assembly2,assembly2_008746,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.308,FALSE,0.181,FALSE,0.064031,OTHER,0,TRUE,n14-25c30/31o,FALSE,1,FALSE,0.978,NA,NA,0.657,Non-effector,NA,NA,0.567,Non-effector,0.3911155,0.4292463,0.56,Non-apoplastic,0,len=37,NA,NA,NA,NA,NA,NA,NA,NA,4.8683231000000005,60
assembly2,assembly2_004840,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.912,TRUE,0.451,FALSE,0.133142,OTHER,0,TRUE,n7-14c18/19o,FALSE,0.977,FALSE,0.997,NA,NA,0.584,Non-effector,NA,NA,0.78,Non-effector,0.015220791,0.42359978,0.53,Non-apoplastic,0,len=86,NA,NA,NA,NA,NA,NA,NA,NA,4.8682441582,61
assembly2,assembly2_000435,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.398,FALSE,0.378,TRUE,0.67069,SP(Sec/SPI),4,TRUE,n4-12c17/18o320-339i351-369o375-394i415-437o,FALSE,1,FALSE,0.991,NA,NA,0.882,Non-effector,NA,NA,0.882,Non-effector,0.046792835,0.47118983,0.83,Non-apoplastic,0,len=594,NA,NA,NA,NA,NA,NA,NA,NA,4.867458567,62
assembly2,assembly2_008326,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.664,FALSE,0.418,FALSE,0.197357,OTHER,0,TRUE,n2-9c14/15o,TRUE,0.897,FALSE,0.98,NA,NA,0.652,Non-effector,NA,NA,0.665,Non-effector,0.83361495,0.3220393,0.64,Non-apoplastic,0,len=33,NA,NA,NA,NA,NA,NA,NA,NA,4.86392299,63
assembly2,assembly2_000561,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.102,FALSE,5.28e-4,OTHER,0,FALSE,o,FALSE,1,FALSE,0.956,NA,NA,0.741,Non-effector,NA,NA,0.533,Non-effector,0.90073377,0.20209289,0.97,Non-apoplastic,0,len=529,NA,NA,NA,NA,PF16847.10,"Avirulence AvrPtoB, BAK1-binding domain",6.9e-4,TRUE,4.860146754,64
